country,最有名研究领域1,最有名研究领域2,最有名研究领域3
United States,Machine learning,Statistics,Computer vision
Canada,Artificial intelligence,Machine learning,Statistics
United States,Artificial intelligence,Data mining,Machine learning
United States,Artificial intelligence,Statistics,Machine learning
United Kingdom,Artificial intelligence,Computer vision,Machine learning
United States,Artificial intelligence,Operating system,The Internet
United States,Artificial intelligence,Computer vision,Machine learning
United States,Artificial intelligence,Computer vision,Statistics
Spain,Artificial intelligence,Machine learning,Statistics
Germany,Programming language,Artificial intelligence,Operating system
Australia,Operating system,The Internet,Cloud computing
Germany,Artificial intelligence,Statistics,Machine learning
Canada,Artificial intelligence,Machine learning,Artificial neural network
United States,Artificial intelligence,Machine learning,Computer vision
United States,Computer network,The Internet,Operating system
United States,Statistics,Artificial intelligence,Computer network
United States,Artificial intelligence,Operating system,The Internet
United States,Artificial intelligence,Computer vision,Machine learning
United States,Computer network,Operating system,The Internet
United States,Operating system,The Internet,Computer network
United States,Artificial intelligence,Machine learning,Computer vision
United States,Artificial intelligence,Operating system,Statistics
Canada,Mathematical optimization,Statistics,Algorithm
Australia,Artificial intelligence,Machine learning,Statistics
United States,Artificial intelligence,Programming language,Linguistics
United States,Operating system,The Internet,Database
Germany,Artificial intelligence,Machine learning,Statistics
United States,Operating system,The Internet,Programming language
United States,Artificial intelligence,Statistics,The Internet
China,Artificial intelligence,Gene,Organic chemistry
France,Artificial intelligence,Computer vision,Machine learning
China,Artificial intelligence,Computer vision,Machine learning
United States,Computer network,Telecommunications,Statistics
Switzerland,Artificial intelligence,Computer vision,Machine learning
United States,Computer network,The Internet,Operating system
United States,Artificial intelligence,Algorithm,Geometry
United States,Artificial intelligence,Machine learning,Computer vision
United Arab Emirates,Computer network,Telecommunications,Electrical engineering
China,Artificial intelligence,Machine learning,Computer vision
China,Artificial intelligence,Statistics,Algebra
United States,Artificial intelligence,Computer vision,Machine learning
United States,Operating system,Programming language,Parallel computing
China,Artificial intelligence,Quantum mechanics,Machine learning
Canada,Computer network,The Internet,Operating system
United Kingdom,Control theory,Artificial intelligence,Statistics
United Kingdom,Artificial intelligence,Programming language,The Internet
United States,Artificial intelligence,Computer vision,Statistics
United States,Artificial intelligence,Machine learning,Statistics
United States,Artificial intelligence,Machine learning,Statistics
United States,Artificial intelligence,Statistics,Machine learning
United States,Artificial intelligence,Statistics,Machine learning
Germany,Artificial intelligence,Computer vision,Machine learning
United States,Quantum mechanics,Gene,Statistics
United States,Artificial intelligence,Machine learning,Algorithm
United States,Computer network,Operating system,The Internet
Singapore,Artificial intelligence,Machine learning,Statistics
China,Artificial intelligence,Computer vision,Machine learning
United States,Computer network,Operating system,The Internet
United States,Artificial intelligence,Computer vision,Computer graphics
China,Artificial intelligence,Machine learning,Statistics
United States,Artificial intelligence,Algorithm,Computer network
United States,Artificial intelligence,Operating system,The Internet
Sweden,Computer network,The Internet,Operating system
United States,Operating system,Computer network,The Internet
United States,Artificial intelligence,Operating system,The Internet
United States,Artificial intelligence,Machine learning,Statistics
United States,Artificial intelligence,Mathematical optimization,Algorithm
United States,Artificial intelligence,Neuroscience,Statistics
United States,Operating system,The Internet,Computer network
China,Artificial intelligence,Gene,Computer vision
Canada,Artificial intelligence,Machine learning,Statistics
France,Artificial intelligence,Statistics,Programming language
United States,Artificial intelligence,Machine learning,Statistics
United States,Artificial intelligence,Computer vision,Statistics
Germany,Artificial intelligence,Computer vision,Machine learning
United States,Artificial intelligence,Computer vision,Machine learning
United States,Artificial intelligence,Computer vision,Optics
China,Artificial intelligence,Machine learning,Computer vision
United States,Artificial intelligence,Machine learning,Statistics
United States,Computer network,The Internet,Telecommunications
United States,Operating system,Artificial intelligence,Computer network
